Well,DEPTH,DT,DEN,NEU,PHIE,GR,Facies,Core_Perm,Core_POR,Zone
42/13a-A5Z,11771.5,76.80000305,2.441299915,0.193599999,0.150999993,45.71770096,-999.25,-999.25,-999.25,2
42/13a-A5Z,11772,76.80000305,2.453700066,0.188899994,0.147400007,44.47819901,-999.25,-999.25,-999.25,2
42/13a-A5Z,11772.5,76.80000305,2.469000101,0.1866,0.133100003,49.57389832,-999.25,-999.25,-999.25,2
42/13a-A5Z,11773,76,2.478899956,0.187299997,0.126699999,52.06940079,-999.25,-999.25,-999.25,2
42/13a-A5Z,11773.5,76,2.497600079,0.191599995,0.118299998,55.73310089,-999.25,-999.25,-999.25,2
42/13a-A5Z,11774,76,2.551300049,0.194999993,0.104900003,57.64960098,-999.25,-999.25,-999.25,2
42/13a-A5Z,11774.5,75.19999695,2.54189992,0.194600001,0.116599999,52.37820053,-999.25,-999.25,-999.25,2
42/13a-A5Z,11775,75.19999695,2.485199928,0.188199997,0.125400007,52.25889969,-999.25,-999.25,-999.25,2
42/13a-A5Z,11775.5,75.19999695,2.404500008,0.182400003,0.148900002,48.0121994,-999.25,-999.25,-999.25,2
42/13a-A5Z,11776,75.19999695,2.399499893,0.181600004,0.155499995,44.65859985,-999.25,-999.25,-999.25,2
42/13a-A5Z,11776.5,75.19999695,2.442800045,0.179800004,0.149200007,41.75849915,-999.25,-999.25,-999.25,2
42/13a-A5Z,11777,75.19999695,2.449800015,0.181199998,0.149000004,41.47840118,-999.25,-999.25,-999.25,2
42/13a-A5Z,11777.5,75.19999695,2.449599981,0.183400005,0.154100001,39.4280014,-999.25,-999.25,-999.25,2
42/13a-A5Z,11778,75.19999695,2.440799952,0.184,0.161599994,36.62820053,-999.25,-999.25,-999.25,2
42/13a-A5Z,11778.5,76,2.462300062,0.187700003,0.155399993,38.63290024,-999.25,-999.25,-999.25,2
42/13a-A5Z,11779,76,2.482500076,0.187399998,0.1479,40.15610123,-999.25,-999.25,-999.25,2
42/13a-A5Z,11779.5,76,2.460000038,0.1875,0.150399998,41.56990051,-999.25,-999.25,-999.25,2
42/13a-A5Z,11780,75.19999695,2.440999985,0.181600004,0.152199999,40.97800064,-999.25,-999.25,-999.25,2
42/13a-A5Z,11780.5,75.19999695,2.443900108,0.176499993,0.142000005,44.40399933,-999.25,-999.25,-999.25,2
42/13a-A5Z,11781,75.19999695,2.483999968,0.174799994,0.126599997,47.1711998,-999.25,-999.25,-999.25,2
42/13a-A5Z,11781.5,75.19999695,2.50819993,0.174099997,0.115599997,49.92160034,-999.25,-999.25,-999.25,2
42/13a-A5Z,11782,75.19999695,2.488899946,0.174600005,0.133900002,42.5984993,-999.25,-999.25,-999.25,2
42/13a-A5Z,11782.5,74.40000153,2.468300104,0.175500006,0.141100004,41.50320053,-999.25,-999.25,-999.25,2
42/13a-A5Z,11783,74.40000153,2.454200029,0.174600005,0.143299997,41.77470017,-999.25,-999.25,-999.25,2
42/13a-A5Z,11783.5,74.40000153,2.458800077,0.172900006,0.142499998,41.05500031,-999.25,-999.25,-999.25,2
42/13a-A5Z,11784,74.40000153,2.457000017,0.169400007,0.140699998,40.99940109,-999.25,-999.25,-999.25,2
42/13a-A5Z,11784.5,74.40000153,2.479099989,0.167799994,0.141499996,37.44049835,-999.25,-999.25,-999.25,2
42/13a-A5Z,11785,74.40000153,2.4927001,0.165700004,0.136700004,37.70980072,-999.25,-999.25,-999.25,2
42/13a-A5Z,11785.5,75.19999695,2.503299952,0.164800003,0.136399999,36.37239838,-999.25,-999.25,-999.25,2
42/13a-A5Z,11786,75.19999695,2.486099958,0.162499994,0.135600001,37.90230179,-999.25,-999.25,-999.25,2
42/13a-A5Z,11786.5,75.19999695,2.474600077,0.162200004,0.1391,37.29859924,-999.25,-999.25,-999.25,2
42/13a-A5Z,11787,74.40000153,2.475699902,0.162699997,0.140699998,36.4864006,-999.25,-999.25,-999.25,2
42/13a-A5Z,11787.5,74.40000153,2.479199886,0.163100004,0.140699998,36.21799851,-999.25,-999.25,-999.25,2
42/13a-A5Z,11788,75.19999695,2.47420001,0.162000001,0.144400001,34.44060135,-999.25,-999.25,-999.25,2
42/13a-A5Z,11788.5,75.19999695,2.478899956,0.160699993,0.143199995,34.14799881,-999.25,-999.25,-999.25,2
42/13a-A5Z,11789,75.19999695,2.487400055,0.161699995,0.137400001,36.54919815,-999.25,-999.25,-999.25,2
42/13a-A5Z,11789.5,73.59999847,2.507699966,0.162400007,0.131600007,37.59270096,-999.25,-999.25,-999.25,2
42/13a-A5Z,11790,73.59999847,2.566299915,0.163100004,0.120200001,37.55270004,-999.25,-999.25,-999.25,2
42/13a-A5Z,11790.5,73.59999847,2.636699915,0.165099993,0.097199999,43.15039825,-999.25,-999.25,-999.25,2
42/13a-A5Z,11791,72.80000305,2.704799891,0.171399996,0.072899997,51.05059815,-999.25,-999.25,-999.25,2
42/13a-A5Z,11791.5,72.80000305,2.717999935,0.178800002,0.073399998,51.9557991,-999.25,-999.25,-999.25,2
42/13a-A5Z,11792,70.40000153,2.666100025,0.182799995,0.083800003,52.70849991,-999.25,-999.25,-999.25,2
42/13a-A5Z,11792.5,70.40000153,2.600399971,0.1831,0.095700003,53.19639969,-999.25,-999.25,-999.25,2
42/13a-A5Z,11793,70.40000153,2.539200068,0.180999994,0.093400002,60.3158989,-999.25,-999.25,-999.25,2
42/13a-A5Z,11793.5,73.59999847,2.535300016,0.178100005,0.061099999,79.12709808,-999.25,-999.25,-999.25,2
42/13a-A5Z,11794,73.59999847,2.523400068,0.170499995,0.050799999,84.77950287,-999.25,-999.25,-999.25,2
42/13a-A5Z,11794.5,73.59999847,2.507100105,0.166199997,0.0001,92.36430359,-999.25,-999.25,-999.25,2
42/13a-A5Z,11795,70.40000153,2.532000065,0.167300001,0.0376,91.93509674,-999.25,-999.25,-999.25,2
42/13a-A5Z,11795.5,70.40000153,2.589099884,0.180399999,0.0321,88.35320282,-999.25,-999.25,-999.25,2
42/13a-A5Z,11796,70.40000153,2.601900101,0.193399996,0.031199999,91.58270264,-999.25,-999.25,-999.25,2
42/13a-A5Z,11796.5,69.59999847,2.576900005,0.202199996,0.040300001,93.87180328,-999.25,-999.25,-999.25,2
42/13a-A5Z,11797,69.59999847,2.561500073,0.205699995,0.0484,93.10990143,-999.25,-999.25,-999.25,2
42/13a-A5Z,11797.5,67.19999695,2.65260005,0.203299999,0.0363,84.42590332,-999.25,-999.25,-999.25,2
42/13a-A5Z,11798,67.19999695,2.703900099,0.198799998,0.046,73.01699829,-999.25,-999.25,-999.25,2
42/13a-A5Z,11798.5,67.19999695,2.674799919,0.188500002,0.0616,64.72409821,-999.25,-999.25,-999.25,2
42/13a-A5Z,11799,67.19999695,2.608700037,0.178599998,0.070200004,63.69789887,-999.25,-999.25,-999.25,2
42/13a-A5Z,11799.5,67.19999695,2.566800118,0.177699998,0.066600002,69.74079895,-999.25,-999.25,-999.25,2
